snapshot_date,country,store_id,sku_id,stock_qty,stock_age_days
2024-01-31,Singapore,SG01,SKU0047,11,26
2024-01-31,Singapore,SG01,SKU0095,4,4
2024-01-31,Singapore,SG01,SKU0032,5,1
2024-01-31,Singapore,SG01,SKU0076,3,99
2024-01-31,Singapore,SG01,SKU0018,6,6
2024-01-31,Singapore,SG01,SKU0002,6,42
2024-01-31,Singapore,SG01,SKU0082,6,10
2024-01-31,Singapore,SG01,SKU0038,12,35
2024-01-31,Singapore,SG01,SKU0088,14,90
2024-01-31,Singapore,SG01,SKU0031,13,15
2024-01-31,Singapore,SG01,SKU0070,18,1
2024-01-31,Singapore,SG01,SKU0039,11,7
2024-01-31,Singapore,SG01,SKU0098,4,14
2024-01-31,Singapore,SG01,SKU0013,9,2
2024-01-31,Singapore,SG01,SKU0062,2,15
2024-01-31,Singapore,SG01,SKU0072,12,57
2024-01-31,Singapore,SG01,SKU0007,6,30
2024-01-31,Singapore,SG01,SKU0019,6,54
2024-01-31,Singapore,SG01,SKU0081,14,1
2024-01-31,Singapore,SG01,SKU0063,4,27
2024-01-31,Singapore,SG01,SKU0024,10,52
2024-01-31,Singapore,SG01,SKU0010,18,26
2024-01-31,Singapore,SG01,SKU0097,2,9
2024-01-31,Singapore,SG01,SKU0077,9,1
2024-01-31,Singapore,SG01,SKU0044,10,32
2024-01-31,Singapore,SG01,SKU0011,2,6
2024-01-31,Singapore,SG01,SKU0009,3,33
2024-01-31,Singapore,SG01,SKU0083,2,16
2024-01-31,Singapore,SG02,SKU0012,7,18
2024-01-31,Singapore,SG02,SKU0072,10,4
2024-01-31,Singapore,SG02,SKU0075,7,62
2024-01-31,Singapore,SG02,SKU0058,8,15
2024-01-31,Singapore,SG02,SKU0031,9,1
2024-01-31,Singapore,SG02,SKU0026,13,17
2024-01-31,Singapore,SG02,SKU0057,11,17
2024-01-31,Singapore,SG02,SKU0033,11,1
2024-01-31,Singapore,SG02,SKU0004,8,37
